,issue_key,issue_type,time,updated_status
284,RN-2261,Bug,2019-09-30T10:17:30.607-0400,Verified
287,RN-2261,Bug,2019-09-26T12:04:43.354-0400,To Do
283,RN-2261,Bug,2019-09-30T10:25:31.028-0400,Closed
285,RN-2261,Bug,2019-09-27T16:11:25.104-0400,Test
286,RN-2261,Bug,2019-09-26T12:04:45.834-0400,Doing
281,RN-2248,Bug,2019-09-27T16:10:02.084-0400,Doing
280,RN-2248,Bug,2019-09-27T16:10:05.642-0400,Test
279,RN-2248,Bug,2019-09-30T09:56:11.075-0400,Verified
278,RN-2248,Bug,2019-09-30T10:58:00.185-0400,Closed
282,RN-2248,Bug,2019-09-27T09:02:15.824-0400,To Do
275,RN-2227,Technical Story,2019-09-16T10:49:43.830-0400,Test
273,RN-2227,Technical Story,2019-09-18T13:19:44.325-0400,Closed
274,RN-2227,Technical Story,2019-09-18T10:26:48.294-0400,Verified
276,RN-2227,Technical Story,2019-09-11T13:36:16.237-0400,Doing
277,RN-2227,Technical Story,2019-09-11T13:36:13.290-0400,To Do
271,RN-2224,Bug,2019-09-13T10:33:44.920-0400,Doing
270,RN-2224,Bug,2019-09-17T12:32:16.037-0400,Test
269,RN-2224,Bug,2019-09-18T14:20:22.369-0400,Verified
268,RN-2224,Bug,2019-09-18T14:30:59.457-0400,Closed
272,RN-2224,Bug,2019-09-12T10:57:44.416-0400,To Do
267,RN-2201,Technical Story,2019-08-30T14:40:04.736-0400,To Do
266,RN-2201,Technical Story,2019-08-30T14:40:07.697-0400,Doing
265,RN-2201,Technical Story,2019-08-30T14:40:10.627-0400,Test
264,RN-2201,Technical Story,2019-09-10T10:28:40.152-0400,Verified
263,RN-2201,Technical Story,2019-09-10T10:44:39.252-0400,Closed
261,RN-2177,Technical Story,2019-08-27T14:17:31.166-0400,Doing
260,RN-2177,Technical Story,2019-08-28T11:24:02.869-0400,Closed
262,RN-2177,Technical Story,2019-08-27T14:17:25.141-0400,To Do
259,RN-2149,Story,2019-08-22T10:43:37.152-0400,To Do
257,RN-2149,Story,2019-08-22T10:43:42.284-0400,Doing
256,RN-2149,Story,2019-08-23T15:02:17.723-0400,Test
255,RN-2149,Story,2019-08-28T10:25:34.887-0400,Documentation
254,RN-2149,Story,2019-08-28T16:07:13.860-0400,Verified
253,RN-2149,Story,2019-08-28T16:09:29.176-0400,Closed
258,RN-2149,Story,2019-08-22T10:43:39.355-0400,Blocked
248,RN-2146,Technical Story,2019-09-13T13:27:47.051-0400,Verified
247,RN-2146,Technical Story,2019-09-16T07:42:06.010-0400,Closed
250,RN-2146,Technical Story,2019-09-04T12:28:15.860-0400,Test
249,RN-2146,Technical Story,2019-09-13T09:14:29.283-0400,Documentation
251,RN-2146,Technical Story,2019-08-26T15:48:11.123-0400,Doing
252,RN-2146,Technical Story,2019-08-26T10:24:58.645-0400,To Do
246,RN-2141,Technical Story,2019-08-20T12:19:56.815-0400,To Do
245,RN-2141,Technical Story,2019-08-23T07:43:51.035-0400,Doing
244,RN-2141,Technical Story,2019-09-10T13:51:33.243-0400,Closed
239,RN-2129,Story,2019-09-19T10:04:13.565-0400,Documentation
238,RN-2129,Story,2019-09-20T09:18:48.444-0400,Verified
237,RN-2129,Story,2019-09-20T09:58:40.677-0400,Closed
240,RN-2129,Story,2019-09-13T11:08:52.211-0400,Test
241,RN-2129,Story,2019-09-06T08:47:10.191-0400,Doing
242,RN-2129,Story,2019-08-16T14:36:33.148-0400,To Do
243,RN-2129,Story,2019-08-16T09:03:40.059-0400,Open
236,RN-2109,Bug,2019-08-16T13:41:35.064-0400,To Do
235,RN-2109,Bug,2019-08-20T14:28:25.174-0400,Doing
234,RN-2109,Bug,2019-08-29T10:05:04.142-0400,Test
233,RN-2109,Bug,2019-09-13T10:32:36.937-0400,Verified
232,RN-2109,Bug,2019-09-16T13:14:01.317-0400,Closed
225,RN-2033,Technical Story,2019-08-28T15:22:23.995-0400,Closed
226,RN-2033,Technical Story,2019-08-28T10:38:08.134-0400,Verified
227,RN-2033,Technical Story,2019-08-26T16:34:08.015-0400,Test
228,RN-2033,Technical Story,2019-08-26T13:56:25.885-0400,Doing
229,RN-2033,Technical Story,2019-08-26T13:54:32.412-0400,Test
230,RN-2033,Technical Story,2019-08-09T09:49:21.521-0400,Doing
231,RN-2033,Technical Story,2019-07-29T13:50:46.818-0400,To Do
224,CS-3565,Bug,2019-09-27T11:13:58.079-0400,To Do
223,CS-3565,Bug,2019-09-27T11:14:00.318-0400,Doing
222,CS-3565,Bug,2019-09-27T11:14:03.886-0400,Test
221,CS-3565,Bug,2019-09-27T12:29:22.668-0400,Verified
220,CS-3565,Bug,2019-09-27T12:29:39.955-0400,Test
